index	fermion	trace
1	0	1
2	0	2
3	0	2
4	0	2
5	0	3
6	0	3
7	0	3
8	0	3
9	0	4
10	0	4
11	0	4
12	0	5
13	0	5
14	0	6
15	0	7
16	2	1
17	2	1
18	2	1
19	2	2
20	2	2
21	2	2
22	2	2
23	2	2
24	2	2
25	2	2
26	2	2
27	2	2
28	2	3
29	2	3
30	2	3
31	2	3
32	2	3
33	2	3
34	2	3
35	2	3
36	2	3
37	2	3
38	2	3
39	2	4
40	2	4
41	2	4
42	2	4
43	2	4
44	2	4
45	2	4
46	2	5
47	2	5
48	2	5
49	2	6
50	4	1
51	4	1
52	4	1
53	4	1
54	4	1
55	4	2
56	4	2
57	4	2
58	4	2
59	4	2
60	4	2
61	4	2
62	4	2
63	4	2
64	4	2
65	4	2
66	4	2
67	4	2
68	4	3
69	4	3
70	4	3
71	4	3
72	4	3
73	4	3
74	4	3
75	4	3
76	4	3
77	4	3
78	4	3
79	4	4
80	4	4
81	4	4
82	4	4
83	4	5
84	6	1
85	6	2
86	6	2
87	6	2
88	6	3
89	6	3
