index	fermion	trace
1	0	1
2	0	2
3	0	2
4	0	2
5	0	2
6	0	2
7	0	3
8	0	3
9	0	3
10	0	3
11	0	3
12	0	3
13	0	3
14	0	3
15	0	3
16	0	3
17	0	4
18	0	4
19	0	4
20	0	4
21	0	4
22	0	4
23	0	4
24	0	4
25	0	4
26	0	4
27	0	4
28	0	5
29	0	5
30	0	5
31	0	5
32	0	5
33	0	5
34	0	5
35	0	5
36	0	5
37	0	5
38	0	6
39	0	6
40	0	6
41	0	6
42	0	6
43	0	6
44	0	6
45	0	7
46	0	7
47	0	7
48	0	7
49	0	7
50	0	8
51	0	8
52	0	8
53	0	9
54	0	9
55	0	10
56	0	11
57	2	1
58	2	1
59	2	1
60	2	1
61	2	1
62	2	2
63	2	2
64	2	2
65	2	2
66	2	2
67	2	2
68	2	2
69	2	2
70	2	2
71	2	2
72	2	2
73	2	2
74	2	2
75	2	2
76	2	2
77	2	2
78	2	2
79	2	2
80	2	2
81	2	2
82	2	2
83	2	2
84	2	2
85	2	2
86	2	2
87	2	3
88	2	3
89	2	3
90	2	3
91	2	3
92	2	3
93	2	3
94	2	3
95	2	3
96	2	3
97	2	3
98	2	3
99	2	3
100	2	3
101	2	3
102	2	3
103	2	3
104	2	3
105	2	3
106	2	3
107	2	3
108	2	3
109	2	3
110	2	3
111	2	3
112	2	3
113	2	3
114	2	3
115	2	3
116	2	3
117	2	3
118	2	3
119	2	3
120	2	3
121	2	3
122	2	3
123	2	3
124	2	3
125	2	3
126	2	3
127	2	3
128	2	3
129	2	3
130	2	3
131	2	3
132	2	3
133	2	3
134	2	3
135	2	3
136	2	3
137	2	4
138	2	4
139	2	4
140	2	4
141	2	4
142	2	4
143	2	4
144	2	4
145	2	4
146	2	4
147	2	4
148	2	4
149	2	4
150	2	4
151	2	4
152	2	4
153	2	4
154	2	4
155	2	4
156	2	4
157	2	4
158	2	4
159	2	4
160	2	4
161	2	4
162	2	4
163	2	4
164	2	4
165	2	4
166	2	4
167	2	4
168	2	4
169	2	4
170	2	4
171	2	4
172	2	4
173	2	4
174	2	4
175	2	4
176	2	4
177	2	4
178	2	4
179	2	4
180	2	4
181	2	4
182	2	4
183	2	4
184	2	4
185	2	4
186	2	4
187	2	4
188	2	4
189	2	4
190	2	4
191	2	4
192	2	5
193	2	5
194	2	5
195	2	5
196	2	5
197	2	5
198	2	5
199	2	5
200	2	5
201	2	5
202	2	5
203	2	5
204	2	5
205	2	5
206	2	5
207	2	5
208	2	5
209	2	5
210	2	5
211	2	5
212	2	5
213	2	5
214	2	5
215	2	5
216	2	5
217	2	5
218	2	5
219	2	5
220	2	5
221	2	5
222	2	5
223	2	5
224	2	5
225	2	5
226	2	5
227	2	5
228	2	5
229	2	5
230	2	5
231	2	5
232	2	5
233	2	5
234	2	6
235	2	6
236	2	6
237	2	6
238	2	6
239	2	6
240	2	6
241	2	6
242	2	6
243	2	6
244	2	6
245	2	6
246	2	6
247	2	6
248	2	6
249	2	6
250	2	6
251	2	6
252	2	6
253	2	6
254	2	6
255	2	6
256	2	6
257	2	6
258	2	6
259	2	6
260	2	7
261	2	7
262	2	7
263	2	7
264	2	7
265	2	7
266	2	7
267	2	7
268	2	7
269	2	7
270	2	7
271	2	7
272	2	7
273	2	7
274	2	8
275	2	8
276	2	8
277	2	8
278	2	8
279	2	8
280	2	8
281	2	9
282	2	9
283	2	9
284	2	10
285	4	1
286	4	1
287	4	1
288	4	1
289	4	1
290	4	1
291	4	1
292	4	1
293	4	1
294	4	1
295	4	1
296	4	1
297	4	1
298	4	1
299	4	1
300	4	1
301	4	1
302	4	1
303	4	1
304	4	1
305	4	1
306	4	1
307	4	1
308	4	1
309	4	1
310	4	1
311	4	1
312	4	1
313	4	1
314	4	1
315	4	2
316	4	2
317	4	2
318	4	2
319	4	2
320	4	2
321	4	2
322	4	2
323	4	2
324	4	2
325	4	2
326	4	2
327	4	2
328	4	2
329	4	2
330	4	2
331	4	2
332	4	2
333	4	2
334	4	2
335	4	2
336	4	2
337	4	2
338	4	2
339	4	2
340	4	2
341	4	2
342	4	2
343	4	2
344	4	2
345	4	2
346	4	2
347	4	2
348	4	2
349	4	2
350	4	2
351	4	2
352	4	2
353	4	2
354	4	2
355	4	2
356	4	2
357	4	2
358	4	2
359	4	2
360	4	2
361	4	2
362	4	2
363	4	2
364	4	2
365	4	2
366	4	2
367	4	2
368	4	2
369	4	2
370	4	2
371	4	2
372	4	2
373	4	2
374	4	2
375	4	2
376	4	2
377	4	2
378	4	2
379	4	2
380	4	2
381	4	2
382	4	2
383	4	2
384	4	2
385	4	2
386	4	2
387	4	2
388	4	2
389	4	2
390	4	2
391	4	2
392	4	2
393	4	2
394	4	2
395	4	2
396	4	2
397	4	2
398	4	2
399	4	2
400	4	2
401	4	2
402	4	2
403	4	2
404	4	2
405	4	2
406	4	2
407	4	2
408	4	2
409	4	2
410	4	2
411	4	2
412	4	2
413	4	2
414	4	2
415	4	2
416	4	2
417	4	2
418	4	2
419	4	2
420	4	2
421	4	3
422	4	3
423	4	3
424	4	3
425	4	3
426	4	3
427	4	3
428	4	3
429	4	3
430	4	3
431	4	3
432	4	3
433	4	3
434	4	3
435	4	3
436	4	3
437	4	3
438	4	3
439	4	3
440	4	3
441	4	3
442	4	3
443	4	3
444	4	3
445	4	3
446	4	3
447	4	3
448	4	3
449	4	3
450	4	3
451	4	3
452	4	3
453	4	3
454	4	3
455	4	3
456	4	3
457	4	3
458	4	3
459	4	3
460	4	3
461	4	3
462	4	3
463	4	3
464	4	3
465	4	3
466	4	3
467	4	3
468	4	3
469	4	3
470	4	3
471	4	3
472	4	3
473	4	3
474	4	3
475	4	3
476	4	3
477	4	3
478	4	3
479	4	3
480	4	3
481	4	3
482	4	3
483	4	3
484	4	3
485	4	3
486	4	3
487	4	3
488	4	3
489	4	3
490	4	3
491	4	3
492	4	3
493	4	3
494	4	3
495	4	3
496	4	3
497	4	3
498	4	3
499	4	3
500	4	3
501	4	3
502	4	3
503	4	3
504	4	3
505	4	3
506	4	3
507	4	3
508	4	3
509	4	3
510	4	3
511	4	3
512	4	3
513	4	3
514	4	3
515	4	3
516	4	3
517	4	3
518	4	3
519	4	3
520	4	3
521	4	3
522	4	3
523	4	3
524	4	3
525	4	3
526	4	3
527	4	3
528	4	3
529	4	3
530	4	3
531	4	3
532	4	3
533	4	3
534	4	3
535	4	3
536	4	3
537	4	3
538	4	3
539	4	3
540	4	3
541	4	3
542	4	3
543	4	3
544	4	3
545	4	3
546	4	3
547	4	3
548	4	3
549	4	3
550	4	3
551	4	3
552	4	3
553	4	3
554	4	3
555	4	3
556	4	3
557	4	3
558	4	3
559	4	3
560	4	3
561	4	3
562	4	3
563	4	3
564	4	3
565	4	3
566	4	3
567	4	3
568	4	3
569	4	3
570	4	3
571	4	3
572	4	3
573	4	3
574	4	3
575	4	3
576	4	3
577	4	3
578	4	4
579	4	4
580	4	4
581	4	4
582	4	4
583	4	4
584	4	4
585	4	4
586	4	4
587	4	4
588	4	4
589	4	4
590	4	4
591	4	4
592	4	4
593	4	4
594	4	4
595	4	4
596	4	4
597	4	4
598	4	4
599	4	4
600	4	4
601	4	4
602	4	4
603	4	4
604	4	4
605	4	4
606	4	4
607	4	4
608	4	4
609	4	4
610	4	4
611	4	4
612	4	4
613	4	4
614	4	4
615	4	4
616	4	4
617	4	4
618	4	4
619	4	4
620	4	4
621	4	4
622	4	4
623	4	4
624	4	4
625	4	4
626	4	4
627	4	4
628	4	4
629	4	4
630	4	4
631	4	4
632	4	4
633	4	4
634	4	4
635	4	4
636	4	4
637	4	4
638	4	4
639	4	4
640	4	4
641	4	4
642	4	4
643	4	4
644	4	4
645	4	4
646	4	4
647	4	4
648	4	4
649	4	4
650	4	4
651	4	4
652	4	4
653	4	4
654	4	4
655	4	4
656	4	4
657	4	4
658	4	4
659	4	4
660	4	4
661	4	4
662	4	4
663	4	4
664	4	4
665	4	4
666	4	4
667	4	4
668	4	4
669	4	4
670	4	4
671	4	4
672	4	4
673	4	4
674	4	4
675	4	4
676	4	4
677	4	4
678	4	4
679	4	4
680	4	4
681	4	4
682	4	4
683	4	4
684	4	4
685	4	4
686	4	4
687	4	4
688	4	4
689	4	4
690	4	4
691	4	4
692	4	4
693	4	4
694	4	4
695	4	4
696	4	4
697	4	4
698	4	4
699	4	4
700	4	4
701	4	4
702	4	4
703	4	4
704	4	4
705	4	4
706	4	4
707	4	4
708	4	4
709	4	5
710	4	5
711	4	5
712	4	5
713	4	5
714	4	5
715	4	5
716	4	5
717	4	5
718	4	5
719	4	5
720	4	5
721	4	5
722	4	5
723	4	5
724	4	5
725	4	5
726	4	5
727	4	5
728	4	5
729	4	5
730	4	5
731	4	5
732	4	5
733	4	5
734	4	5
735	4	5
736	4	5
737	4	5
738	4	5
739	4	5
740	4	5
