index	fermion	trace
1	1	1
2	1	2
3	1	2
4	1	2
5	1	2
6	1	2
7	1	2
8	1	2
9	1	2
10	1	2
11	1	2
12	1	3
13	1	3
14	1	3
15	1	3
16	1	3
17	1	3
18	1	3
19	1	3
20	1	3
21	1	3
22	1	3
23	1	3
24	1	3
25	1	3
26	1	3
27	1	3
28	1	3
29	1	3
30	1	3
31	1	3
32	1	3
33	1	3
34	1	3
35	1	3
36	1	3
37	1	4
38	1	4
39	1	4
40	1	4
41	1	4
42	1	4
43	1	4
44	1	4
45	1	4
46	1	4
47	1	4
48	1	4
49	1	4
50	1	4
51	1	4
52	1	4
53	1	4
54	1	4
55	1	4
56	1	4
57	1	4
58	1	4
59	1	4
60	1	4
61	1	4
62	1	4
63	1	4
64	1	4
65	1	4
66	1	4
67	1	4
68	1	5
69	1	5
70	1	5
71	1	5
72	1	5
73	1	5
74	1	5
75	1	5
76	1	5
77	1	5
78	1	5
79	1	5
80	1	5
81	1	5
82	1	5
83	1	5
84	1	5
85	1	5
86	1	5
87	1	5
88	1	5
89	1	5
90	1	5
91	1	5
92	1	5
93	1	5
94	1	5
95	1	6
96	1	6
97	1	6
98	1	6
99	1	6
100	1	6
101	1	6
102	1	6
103	1	6
104	1	6
105	1	6
106	1	6
107	1	6
108	1	6
109	1	6
110	1	6
111	1	6
112	1	6
113	1	6
114	1	7
115	1	7
116	1	7
117	1	7
118	1	7
119	1	7
120	1	7
121	1	7
122	1	7
123	1	7
124	1	7
125	1	7
126	1	8
127	1	8
128	1	8
129	1	8
130	1	8
131	1	8
132	1	8
133	1	9
134	1	9
135	1	9
136	1	9
137	1	10
138	1	10
139	1	11
140	3	1
141	3	1
142	3	1
143	3	1
144	3	1
145	3	1
146	3	1
147	3	1
148	3	1
149	3	1
150	3	1
151	3	1
152	3	1
153	3	1
154	3	1
155	3	2
156	3	2
157	3	2
158	3	2
159	3	2
160	3	2
161	3	2
162	3	2
163	3	2
164	3	2
165	3	2
166	3	2
